review,rating,date,bank,source,cleaned_review,char_count,word_count,avg_word_length,has_question,has_exclamation,is_all_caps,sentiment_polarity
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,every one,9.0,2.0,4.0,0.0,0.0,0.0,0.0
best app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,Portugal,8.0,1.0,8.0,0.0,0.0,0.0,0.0
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,absolutely fantastic love enjoying let support foundation together,66.0,8.0,7.38,0.0,0.0,0.0,0.0
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,highly unreliable recent week frequently work properly network whether mobile data week system entirely extended period making difficult access banking service function intermittently lack consistency hope issue soon nontechnical influence removed essential service,265.0,33.0,7.06,0.0,0.0,0.0,0.0
mortuary app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,mortuary,8.0,1.0,8.0,0.0,0.0,0.0,0.0
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,smart period time device reason,31.0,5.0,5.4,0.0,0.0,0.0,0.0
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,amazing used one year,21.0,4.0,4.5,0.0,0.0,0.0,0.0
👍,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,love,4.0,1.0,4.0,0.0,0.0,0.0,0.0
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,make life easy,14.0,3.0,4.0,0.0,0.0,0.0,0.0
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,fast,4.0,1.0,4.0,0.0,0.0,0.0,0.0
wow,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
it is sooo good,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
excellent,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,excellent,9.0,1.0,9.0,0.0,0.0,0.0,0.0
ok,1,2025-05-23,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,fantastic,9.0,1.0,9.0,0.0,0.0,0.0,0.0
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,accessible,10.0,1.0,10.0,0.0,0.0,0.0,0.0
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,like,4.0,1.0,4.0,0.0,0.0,0.0,0.0
good,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,change default network,22.0,3.0,6.67,0.0,0.0,0.0,0.0
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,nice fast,9.0,2.0,4.0,0.0,0.0,0.0,0.0
best,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
how to I get my money,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,get money,9.0,2.0,4.0,0.0,0.0,0.0,0.0
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,bad cant even load need improve service,39.0,7.0,4.71,0.0,0.0,0.0,0.0
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,good please make reliable crash sometimes,41.0,6.0,6.0,0.0,0.0,0.0,0.0
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,busy dont know prefer,21.0,4.0,4.5,0.0,0.0,0.0,0.0
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,sometimes nasty lag several hour fix rest,41.0,7.0,5.0,0.0,0.0,0.0,0.0
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,boring banking application use alternative private bank mobile banking,70.0,9.0,6.89,0.0,0.0,0.0,0.0
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ok,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,easy,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,sync problem may date stack may help,36.0,7.0,4.29,0.0,0.0,0.0,0.0
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,hate,4.0,1.0,4.0,0.0,0.0,0.0,0.0
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,trustful,8.0,1.0,8.0,0.0,0.0,0.0,0.0
I like,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,like,4.0,1.0,4.0,0.0,0.0,0.0,0.0
update issue,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,update issue,12.0,2.0,5.5,0.0,0.0,0.0,0.0
its not working over safari network,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,working safari network,22.0,3.0,6.67,0.0,0.0,0.0,0.0
oldie,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,doesnt work,11.0,2.0,5.0,0.0,0.0,0.0,0.0
best,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play,good well,9.0,2.0,4.0,0.0,0.0,0.0,0.0
ok,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,nice android phone,18.0,3.0,5.33,0.0,0.0,0.0,0.0
good app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,yes yes,7.0,2.0,3.0,0.0,0.0,0.0,0.0
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,easy use helpful life,21.0,4.0,4.5,0.0,0.0,0.0,0.0
good 👍,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,best mobile banking,19.0,3.0,5.67,0.0,0.0,0.0,0.0
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play,useful save secure,18.0,3.0,5.33,0.0,0.0,0.0,0.0
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,good application,16.0,2.0,7.5,0.0,0.0,0.0,0.0
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-20,Commercial Bank of Ethiopia,Google Play,option annoying make transaction delaying activity,50.0,6.0,7.5,0.0,0.0,0.0,0.0
poor service,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,poor service,12.0,2.0,5.5,0.0,0.0,0.0,0.0
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,amazing,7.0,1.0,7.0,0.0,0.0,0.0,0.0
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,reliable easy use,17.0,3.0,5.0,0.0,0.0,0.0,0.0
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,annoying mobile banking ever seen,33.0,5.0,5.8,0.0,0.0,0.0,0.0
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,mobile banking,14.0,2.0,6.5,0.0,0.0,0.0,0.0
"i can't make Screenshout in this app, please made modification",5,2025-05-19,Commercial Bank of Ethiopia,Google Play,cant make please made modification,34.0,5.0,6.0,0.0,0.0,0.0,0.0
Best app I loved it,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
nice app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
wow,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,amazing sometimes doesnt work,29.0,4.0,6.5,0.0,0.0,0.0,0.0
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,well satisfied beautiful,24.0,3.0,7.33,0.0,0.0,0.0,0.0
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
good,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,great impact developer option turnoff fix,41.0,6.0,6.0,0.0,0.0,0.0,0.0
excellent,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,excellent,9.0,1.0,9.0,0.0,0.0,0.0,0.0
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-16,Commercial Bank of Ethiopia,Google Play,always disappointing especially io one similar local application extremely superior application really disappointing,116.0,13.0,8.0,0.0,0.0,0.0,0.0
woxe harimo ribiso,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play,good easy use,13.0,3.0,3.67,0.0,0.0,0.0,0.0
Good app,5,2025-05-15,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,good job,8.0,2.0,3.5,0.0,0.0,0.0,0.0
good,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
nice,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play,please kindly ask update allow convenient efficient long add security access reason block screen,96.0,14.0,5.93,0.0,0.0,0.0,0.0
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,mobile banking overall appreciate however turn developer option great could look issue often need access developer setting otter application attention matter,157.0,21.0,6.52,0.0,0.0,0.0,0.0
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play,customer service bad nothing good bank,38.0,6.0,5.5,0.0,0.0,0.0,0.0
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,amazing mobile banking receipt doesnt work,42.0,6.0,6.17,0.0,0.0,0.0,0.0
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia,Google Play,fast simple easy use,20.0,4.0,4.25,0.0,0.0,0.0,0.0
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play,transferring ever reliable,26.0,3.0,8.0,0.0,0.0,0.0,0.0
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,fund transferred bank reflect account even though confirmation text message received,84.0,11.0,6.73,0.0,0.0,0.0,0.0
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,easy fast,9.0,2.0,4.0,0.0,0.0,0.0,0.0
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-09,Commercial Bank of Ethiopia,Google Play,dont self activation look near branch thats disgusting,54.0,8.0,5.88,0.0,0.0,0.0,0.0
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,hello office personnel make benefit interest free account thanks help,69.0,10.0,6.0,0.0,0.0,0.0,0.0
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,wow best application ever,25.0,4.0,5.5,0.0,0.0,0.0,0.0
good,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,sorry developer mode application hack sure developer stupid doesnt make sense,77.0,11.0,6.09,0.0,0.0,0.0,0.0
Best,4,2025-05-08,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,pride bank bank,15.0,3.0,4.33,0.0,0.0,0.0,0.0
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play,telling turn developer option please fix,40.0,6.0,5.83,0.0,0.0,0.0,0.0
good,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
ok,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,happy small prob transfer cant put transfer,43.0,7.0,5.29,0.0,0.0,0.0,0.0
ok,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good,3,2025-05-06,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,amazing,7.0,1.0,7.0,0.0,0.0,0.0,0.0
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,service mobile banking,22.0,3.0,6.67,0.0,0.0,0.0,0.0
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,need improvement,16.0,2.0,7.5,0.0,0.0,0.0,0.0
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,miss old one send bank,22.0,5.0,3.6,0.0,0.0,0.0,0.0
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,recently crushing time open try make used good take lesson super befitting experience glory making friendly convenient considering leaving good,143.0,20.0,6.2,0.0,0.0,0.0,0.0
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,good week,9.0,2.0,4.0,0.0,0.0,0.0,0.0
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,well designed fixing bug two step verification biometric simply great,69.0,10.0,6.0,0.0,0.0,0.0,0.0
Good app,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,developer reading please fix functionality least button work flawlessly without touching twenty time,100.0,13.0,6.77,0.0,0.0,0.0,0.0
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play,great one thing transfer bank face like mobile charge card place,64.0,11.0,4.91,0.0,0.0,0.0,0.0
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
verygood,3,2025-05-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,low quality application,23.0,3.0,7.0,0.0,0.0,0.0,0.0
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,amazing,7.0,1.0,7.0,0.0,0.0,0.0,0.0
አዛ,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow simple life,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,wow simple life,15.0,3.0,4.33,0.0,0.0,0.0,0.0
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
